category,case,method,total_seconds,tuning_seconds,total_inner_iterations,subproblems,failed_subproblems,mse_before,mse_after,ncc_before,ncc_after,ssim_after,displacement_rmse,min_jacobian,nonpositive_jacobian_fraction,accepted_steps
histology_ihc,3,fixed_1_1,17.26867951825261,2.2105872631073e-05,2410,18,0,0.01485594701914,0.0052342958653869,0.8513560818686023,0.947329790040116,0.5929365028680709,1.6703326594642982,0.0514411180340851,0.0,18
histology_ihc,3,fixed_1_18,10.240095669403672,2.4419277906417847e-05,1433,18,0,0.01485594701914,0.0052332451331449,0.8513560818686023,0.9473404376662808,0.5930008453513197,1.670051585692302,0.0515324083387008,0.0,18
histology_ihc,3,manual_global,2.999800903722644,2.602487802505493e-05,365,18,0,0.01485594701914,0.0052325801632859,0.8513560818686023,0.94734717615748,0.5930419904636711,1.6698630798986809,0.0515876609570033,0.0,18
histology_ihc,3,residual_balance,10.307440843433142,2.50302255153656e-05,1327,18,0,0.01485594701914,0.0052342681473086,0.8513560818686023,0.9473300707954204,0.5929382846381138,1.6703246819419455,0.0514422629355249,0.0,18
histology_ihc,3,adaptive_bb_proxy,4.478662818670273,2.686120569705963e-05,544,18,0,0.01485594701914,0.0052321396707822,0.8513560818686023,0.9473516399119832,0.5930689172073991,1.6697453293147952,0.0516272192556732,0.0,18
histology_ihc,3,predict_every_outer,1.980991955846548,0.435891181230545,187,18,0,0.01485594701914,0.005232289670205,0.8513560818686023,0.9473501200706684,0.5930597028043767,1.6697877888694328,0.0516125008092242,0.0,18
histology_ihc,3,predict_per_level,1.6303931642323732,0.0729609280824661,192,18,0,0.01485594701914,0.0052322798677301,0.8513560818686023,0.9473502192969422,0.5930602859213024,1.6697851309234584,0.0516135665413949,0.0,18
histology_ihc,4,fixed_1_1,12.841380229219794,2.340413630008697e-05,2147,16,0,0.0164643418364253,0.0068339251684263,0.8350007182765278,0.9311598098688656,0.5079531061425092,2.197579589895396,0.0501481170708396,0.0,15
histology_ihc,4,fixed_1_18,15.002191949635744,4.943087697029114e-05,1276,16,0,0.0164643418364253,0.0068329476930924,0.8350007182765278,0.931169712729199,0.5080060168230196,2.197307401674612,0.0502054867902575,0.0,15
histology_ihc,4,manual_global,14.026666330173612,0.0001718644052743,324,16,0,0.0164643418364253,0.0068323482623073,0.8350007182765278,0.9311757852057324,0.5080389021572347,2.197129234485735,0.0502385732391597,0.0,15
histology_ihc,4,residual_balance,39.46906815469265,0.000201042741537,1181,16,0,0.0164643418364253,0.0068339057014885,0.8350007182765278,0.9311600071477436,0.5079542421872452,2.197570454211041,0.0501494227325547,0.0,15
histology_ihc,4,adaptive_bb_proxy,16.491680582985282,0.0001159999519586,482,16,0,0.0164643418364253,0.0068319310704034,0.8350007182765278,0.9311800106479936,0.5080614808525634,2.197015701958359,0.0502654015655212,0.0,15
histology_ihc,4,predict_every_outer,6.8330000173300505,0.9817796386778356,166,16,0,0.0164643418364253,0.0068320620091598,0.8350007182765278,0.931178685440801,0.5080543278134593,2.1970541536688337,0.0502550538723718,0.0,15
histology_ihc,4,predict_per_level,5.986506551504135,0.2058446817100048,172,16,0,0.0164643418364253,0.0068320779715282,0.8350007182765278,0.9311785239784388,0.5080534316157927,2.19706060053504,0.0502541552639151,0.0,15
histology_ihc,5,fixed_1_1,59.07671017199755,0.0001412834972143,2020,15,0,0.0177028305681385,0.0078105046584153,0.8221894185934377,0.9212345748436414,0.4569092450410087,2.6852768217926064,0.0500609008928701,0.0,14
histology_ihc,5,fixed_1_18,37.17865204066038,0.0001263413578271,1199,15,0,0.0177028305681385,0.0078095675959448,0.8221894185934377,0.9212440961398164,0.4569568674833936,2.68500798609104,0.0501318368793609,0.0,14
histology_ihc,5,manual_global,12.705407954752443,0.0001196004450321,304,15,0,0.0177028305681385,0.0078089901381549,0.8221894185934377,0.9212499617357408,0.4569866212194313,2.684826904728256,0.0501710942455698,0.0,14
histology_ihc,5,residual_balance,36.5058185569942,7.714144885540009e-05,1112,15,0,0.0177028305681385,0.0078104745979806,0.8221894185934377,0.9212348801799692,0.4569108310331891,2.685264364409756,0.05006204547555,0.0,14
histology_ihc,5,adaptive_bb_proxy,16.612318919971585,9.964965283870696e-05,452,15,0,0.0177028305681385,0.0078085671606868,0.8221894185934377,0.9212542588048412,0.4570081204839448,2.684707380662616,0.0502051140573718,0.0,14
