pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,A01,A01_1,A01_2,A,10,predict_pair_full,0.0341618992388248,11.47467784024775,11.508839739486575,0.3078216928988695,234,0,21,21,0.0507692149879772,0.0,0.0900259853621376,1.5321698821710683,0.1060531937164581,1.5872881837861623,0.0,0.3036482632160187,0.05,1.65,256,level,5.612193218490781,5.1555592160506265,5.680708845103002,8.870614899570986,0.0142403550096804,0.0813646260318653
1,A02,A02_1,A02_2,A,10,predict_pair_full,0.032818280160427,9.028554696589708,9.061372976750135,0.3163942042738199,181,0,13,14,0.054569183116985,0.0,0.1344961808255698,1.6727456384676649,0.1379756369721946,1.682335825955673,0.0,0.5,0.05,1.65,256,level,4.707571940010588,4.764067007677459,4.731294722595353,7.081767003319209,0.0131590003404524,-0.0120008931113078
2,A03,A03_1,A03_2,A,10,predict_pair_full,0.0246217083185911,8.421256624162197,8.445878332480788,0.312337189912796,212,0,16,17,0.0621154122654277,0.0,0.139134345802404,1.6854935505107556,0.1375748368864576,1.6812394359135092,0.0,0.5,0.05,1.65,256,level,1.9024326213095144,1.7930945615202254,1.7450098167507846,3.163617707294883,0.0049527707959362,0.0574727633270767
3,A04,A04_1,A04_2,A,10,predict_pair_full,0.0323788560926914,15.216942014172671,15.249320870265365,0.3519182782620191,288,0,23,23,0.0533004236529446,0.0,0.139134345802404,1.6854935505107556,0.1382117933339991,1.6829808357381362,0.0,0.5,0.05,1.65,256,level,3.622370434569122,3.321624325691253,3.849580050755117,7.606275893531977,0.0091747776767596,0.0830246697048695
4,A05,A05_1,A05_2,A,10,predict_pair_full,0.0344587080180645,6.876768225803971,6.911226933822036,0.3424701280891895,163,0,12,12,0.0517468228904031,0.0,0.1344961808255698,1.6727456384676649,0.1352449477971218,1.6748233182242898,0.0,0.5,0.05,1.65,256,level,5.30752520580098,5.847968341771747,5.682170383875692,9.00656729548998,0.0161528830884025,-0.1018258255992783
5,A06,A06_1,A06_2,A,10,predict_pair_full,0.032220544293522835,12.683737257495522,12.715957801789045,0.3297269679605961,259,0,19,20,0.05185610356161929,0.0,0.13913434580240408,1.6854935505107556,0.12207901374119061,1.6370980596134146,0.0,0.5,0.05,1.6500000000000001,256,level,1.5351514584947024,1.8013431977356391,1.7984043835957848,2.7070884597655356,0.004975554649855977,-0.17339770468040872
