pair_index,fixed,moving,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,fixed_1_1,2.177114497870207,3.254823010414839,5.431937508285046,7.802620530128479e-06,1003,0,5,8,0.40469479926100044,0.0,30.725935459292167,2.594556544688716,3.024499594458919,7.0244869043097085,0.00716651768328644,0.9155580942970423
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,fixed_1_18,2.177114497870207,2.004769505932927,4.181884003803134,8.195638656616211e-06,595,0,5,8,0.4046949558529139,0.0,30.725935459292167,2.594529806163174,3.024479960008192,7.02446505278263,0.00716644382784609,0.9155589645236161
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,manual_external,2.177114497870207,0.6426871512085199,2.8198016490787268,7.813796401023865e-06,160,0,5,8,0.404694840256036,0.0,30.725935459292167,2.5945241805537753,3.0244654688823065,7.024458372012311,0.007166428289148613,0.9155591476135468
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,residual_balance,2.177114497870207,1.9997762255370617,4.1768907234072685,7.720664143562317e-06,597,0,5,8,0.40469468937142006,0.0,30.725935459292167,2.594553440016972,3.024496952837678,7.024487224927606,0.00716650910776127,0.9155581953410526
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,adaptive_bb_proxy,2.177114497870207,0.8952195290476084,3.072334026917815,7.499009370803833e-06,232,0,5,8,0.40469522857534335,0.0,30.725935459292167,2.594498616936445,3.0244597994368463,7.024454614084166,0.00716635767896437,0.9155599796017988
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,predict_per_level,2.177114497870207,0.5204281155019999,2.6975426133722067,0.06055278517305851,97,0,5,8,0.404694661329946,0.0,30.725935459292167,2.5945050856184704,3.024458704611713,7.024453639960161,0.007166375546342986,0.915559769073399
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,predict_pair_full,2.177114497870207,0.5212122481316328,2.6983267460018396,0.021473439410328865,112,0,5,8,0.4046947105508628,0.0,30.725935459292167,2.5945053101360056,3.0244598147062653,7.024453330690026,0.007166376166490922,0.9155597617662973
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,fixed_1_1,2.1239442471414804,3.4842004403471947,5.608144687488675,8.294358849525452e-06,1196,0,6,9,0.4065687943912399,0.0,26.546367999946977,2.6856911027317882,3.116171679927515,7.459022973668021,0.0074182437145079065,0.898830186384173
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,fixed_1_18,2.1239442471414804,2.1297321151942015,4.253676362335682,8.931383490562439e-06,706,0,6,9,0.40656236789871075,0.0,26.546367999946977,2.6855079039356555,3.116120312071483,7.458974307445129,0.007417737694542865,0.8988370874712119
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,manual_external,2.1239442471414804,0.670568659901619,2.7945129070430994,8.676201105117798e-06,183,0,6,9,0.4065591804721116,0.0,26.546367999946977,2.685393521239773,3.1160870898381368,7.458955723073589,0.007417421753996346,0.898841396260116
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,residual_balance,2.1239442471414804,2.1441902592778206,4.268134506419301,8.493661880493164e-06,701,0,6,9,0.4065686471555057,0.0,26.546367999946977,2.6856804484580192,3.1161682842643867,7.459024551786501,0.007418214285956224,0.8988305877299907
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,adaptive_bb_proxy,2.1239442471414804,0.9482033792883158,3.072147626429796,8.305534720420837e-06,268,0,6,9,0.40655622465042424,0.0,26.546367999946977,2.6853073341750293,3.1160642448516094,7.4589307322179765,0.007417183693613803,0.8988446429213822
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,predict_per_level,2.1239442471414804,0.5403353478759527,2.664279595017433,0.05962803028523922,108,0,6,9,0.4065568788042311,0.0,26.546367999946977,2.6853406043227244,3.1160730275043087,7.458936654194748,0.007417275590281953,0.8988433896370273
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,predict_pair_full,2.1239442471414804,0.5340793281793594,2.65802357532084,0.021518221125006676,126,0,6,9,0.4065568470062012,0.0,26.546367999946977,2.685339939167638,3.1160727956018426,7.458936772198027,0.007417273753033232,0.8988434146933773
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,fixed_1_1,2.0339234862476587,3.3098742216825485,5.343797707930207,8.767470717430115e-06,1101,0,6,9,0.016913873990703376,0.0,17.73861420564515,15.061374035252385,15.134333594862118,27.471650699784362,0.041601561384038886,0.15092724489947795
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,fixed_1_18,2.0339234862476587,2.010570790618658,4.044494276866317,8.722767233848572e-06,654,0,6,9,0.016907877737481425,0.0,17.73861420564515,15.061196733899386,15.134093630813037,27.471594556756024,0.041601071653613035,0.15093724011956355
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,manual_external,2.0339234862476587,0.6676076669245958,2.7015311531722546,8.702278137207031e-06,180,0,6,9,0.016899300575358656,0.0,17.73861420564515,15.061045398617072,15.13390452306128,27.471532020055868,0.04160065364500226,0.1509457715234579
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,residual_balance,2.0339234862476587,2.0328579265624285,4.066781412810087,8.190050721168518e-06,655,0,6,9,0.01691329235646094,0.0,17.73861420564515,15.061364533281942,15.134323037227228,27.471645728781997,0.04160153513830555,0.15092778056536105
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,adaptive_bb_proxy,2.0339234862476587,0.9354711137712002,2.969394600018859,8.367002010345459e-06,268,0,6,9,0.01689727303306976,0.0,17.73861420564515,15.06098665002672,15.133825885175707,27.471524063565717,0.04160049137341389,0.15094908342762758
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,predict_per_level,2.0339234862476587,0.5421112291514874,2.576034715399146,0.05951332859694958,116,0,6,9,0.016900219318299436,0.0,17.73861420564515,15.060995043104876,15.133834138390535,27.47152776044449,0.041600514556236076,0.15094861027464845
