pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,P01,P01_1,P01_2,P,10,predict_pair_full,0.0073794610798358,0.9282274283468724,0.9356068894267082,0.0296228677034378,184,0,17,17,0.0516923804054848,0.0,0.0824669722193491,1.5039271085888888,0.0824669722193491,1.5039271085888888,0.0,0.1437436938285827,0.05,1.65,256,pair_full,45.71449759243748,44.56901823888846,44.51275922403876,47.48228433521872,0.1231056837013474,0.025057244722722
1,P02,P02_1,P02_2,P,10,predict_pair_full,0.0059038288891315,1.3880416862666607,1.3939455151557922,0.0278835892677307,242,0,17,18,0.2044820849650909,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,21.40204497823847,20.69317080957172,21.09709127029351,23.44443198414891,0.0571573492332018,0.0331217960427845
2,P03,P03_1,P03_2,P,10,predict_pair_full,0.0062893889844417,2.572648052126169,2.578937441110611,0.0285280682146549,226,0,20,21,0.0508174274152194,0.0,0.0821742980259053,1.5028007685538411,0.0821742980259053,1.5028007685538411,0.0,0.1426344215869903,0.05,1.65,256,pair_full,47.0349180971336,47.510897039151466,47.20164775964832,49.18962810916125,0.1312315526431244,-0.0101196932252309
3,P04,P04_1,P04_2,P,10,predict_pair_full,0.006039036437869,1.9151289518922567,1.9211679883301256,0.0296640209853649,179,0,15,16,0.0502948929350192,0.0,0.088124261306241,1.5252131812873997,0.088124261306241,1.5252131812873997,0.0,0.1662616431713104,0.05,1.65,256,pair_full,107.27724265362625,106.4488361487262,106.36019532368292,111.12104583475752,0.2940261480085155,0.0077221084771517
4,P05,P05_1,P05_2,P,10,predict_pair_full,0.0051338896155357,2.105873219668865,2.111007109284401,0.0291070770472288,203,0,17,17,0.0538025651763132,0.0,0.1015464889468072,1.5723809038342595,0.1015464889468072,1.5723809038342595,0.0,0.2285508960485458,0.05,1.65,256,pair_full,108.613051778436,107.2432923864574,107.2418463717366,112.30669824189197,0.2962205440751393,0.0126113700844516
5,P06,P06_1,P06_2,P,10,predict_pair_full,0.005712626501917839,1.2731664609164,1.2788790874183178,0.028156151995062828,216,0,16,16,0.05131829165581528,0.0,0.13794969512418526,1.6822649264512077,0.13794969512418526,1.6822649264512077,0.0,0.4797265827655792,0.05,1.6500000000000001,256,pair_full,49.041384189580626,48.80947670492368,48.3816718542304,52.30143379477324,0.13481840611022797,0.004728811971567715
