pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,A01,A01_1,A01_2,A,10,manual_external,0.0032707601785659,1.445261023938656,1.4485317841172218,3.2840296626091003e-05,435,0,23,23,0.0501142746160194,0.0,2.8060966092453903,2.712176208105932,2.936496111497811,4.841105857334187,0.0149827983478478,0.0334701238834688
0,A01,A01_1,A01_2,A,10,predict_pair_full,0.0032707601785659,1.0016038585454226,1.0048746187239883,0.0311621949076652,268,0,23,23,0.0501229784001565,0.0,2.8060966092453903,2.7121609792192487,2.9365095969959807,4.841149945769862,0.0149827142193396,0.0334755509548793
1,A02,A02_1,A02_2,A,10,manual_external,0.0023193657398223,0.6473700571805239,0.6496894229203463,1.2511387467384338e-05,197,0,9,9,0.0518964407828435,0.0,2.353785970005294,2.6127320084146737,2.4957251196028656,3.540980067663525,0.0144334415669778,-0.1100125677134897
1,A02,A02_1,A02_2,A,10,predict_pair_full,0.0023193657398223,0.4319265857338905,0.4342459514737129,0.0304357800632715,123,0,9,9,0.0518965802460204,0.0,2.353785970005294,2.6127221992275027,2.495720106700113,3.5409737213489088,0.0144333873783624,-0.1100084003051968
2,A03,A03_1,A03_2,A,10,manual_external,0.0023177545517683,1.3502169754356146,1.3525347299873829,2.413615584373474e-05,362,0,16,16,0.0535106893214342,0.0,0.9512163106547572,0.7700931369494126,0.8767889901864823,1.5634642354749897,0.0042542037443917,0.1904121824629778
2,A03,A03_1,A03_2,A,10,predict_pair_full,0.0023177545517683,0.8668088149279356,0.8691265694797039,0.0307537019252777,210,0,16,16,0.0535088143725757,0.0,0.9512163106547572,0.7700954336590985,0.8767901326374252,1.5634639192755968,0.0042542164320401,0.1904097679651815
3,A04,A04_1,A04_2,A,10,manual_external,0.0022150315344333,1.7795875929296017,1.781802624464035,3.341026604175568e-05,479,0,24,24,0.335964984550264,0.0,1.811185217284561,1.7488911779316871,1.969271337089642,3.6135460625803706,0.0096613500896314,0.0343940745316122
3,A04,A04_1,A04_2,A,10,predict_pair_full,0.0022150315344333,2.2135537955909967,2.21576882712543,0.0328411515802145,318,0,24,24,0.3359617095686246,0.0,1.811185217284561,1.748897835826532,1.9692743790798104,3.613538405436288,0.0096613868696517,0.0343903985437668
4,A05,A05_1,A05_2,A,10,manual_external,0.0024414956569671,1.830476446077228,1.8329179417341948,5.497783422470093e-05,415,0,20,20,0.0530586887678132,0.0,2.65376260290049,3.0324493792501763,3.0454143053288605,5.091550027120388,0.0167520743724432,-0.1426980604574987
4,A05,A05_1,A05_2,A,10,predict_pair_full,0.0024414956569671,1.0258172284811735,1.028258724138141,0.0323679223656654,276,0,20,20,0.0530699945818677,0.0,2.65376260290049,3.032452002423186,3.045418450819873,5.091560976968898,0.0167520888635637,-0.1426990489306225
5,A06,A06_1,A06_2,A,10,manual_external,0.0032558776438236,1.0761046428233385,1.079360520467162,2.3426488041877747e-05,403,0,17,18,0.0509912704488902,0.0,0.7675757292473512,1.2628175861175914,1.8579559766515807,4.367351307841694,0.0069761474886357,-0.6452026008615541
5,A06,A06_1,A06_2,A,10,predict_pair_full,0.0032558776438236,0.6974958013743162,0.7007516790181398,0.0359220597892999,247,0,17,18,0.0509767440521141,0.0,0.7675757292473512,1.2628187664348274,1.857939041281926,4.367324913575521,0.0069761540090288,-0.6452041385824474
6,A07,A07_1,A07_2,A,10,manual_external,0.0024551264941692,1.4274862743914127,1.429941400885582,3.182515501976013e-05,416,0,24,24,0.0937164797619233,0.0,1.0076297425817398,0.7469386567344847,0.8072008325409337,1.3255026911929235,0.0041262921039634,0.258717140663252
6,A07,A07_1,A07_2,A,10,predict_pair_full,0.0024551264941692,0.9635659419000148,0.966021068394184,0.030230201780796,264,0,24,24,0.09375443794236,0.0,1.0076297425817398,0.7469400331252245,0.8071897270230158,1.3254881453861598,0.0041262997075199,0.2587157746945021
7,A08,A08_1,A08_2,A,10,manual_external,0.0021927524358034,1.148200569674373,1.150393322110176,2.581067383289337e-05,393,0,20,20,0.0505762656163204,0.0,1.7633895969742772,2.851543972548349,3.383783698081912,5.894529884241207,0.0157527037487544,-0.6170810905539936
7,A08,A08_1,A08_2,A,10,predict_pair_full,0.0021927524358034,0.7900963518768549,0.7922891043126583,0.0308150127530097,233,0,20,20,0.0506084311022247,0.0,1.7633895969742772,2.85153939273308,3.383858589048972,5.894637620402766,0.0157526784486103,-0.6170784933881279
8,A09,A09_1,A09_2,A,10,manual_external,0.0021959468722343,1.2381110787391665,1.2403070256114006,2.652779221534729e-05,393,0,20,20,0.0514744827720246,0.0,2.252655026249822,2.4814957936092075,2.603952593005132,4.275279266404333,0.0137084570558356,-0.1015871337118374
8,A09,A09_1,A09_2,A,10,predict_pair_full,0.0021959468722343,0.8605739288032055,0.8627698756754398,0.0373680535703897,232,0,20,20,0.0514640075147674,0.0,2.252655026249822,2.481577326340802,2.6040123075358297,4.275309233607839,0.0137089074647997,-0.1016233277720217
9,A10,A10_1,A10_2,A,10,manual_external,0.0022016782313585,1.4438779316842556,1.446079609915614,3.237277269363403e-05,432,0,24,24,0.4682015425187516,0.0,1.9705159719486296,1.4957853174856337,1.6174473659660351,2.5675104503000736,0.0082631245405731,0.2409169279629323
9,A10,A10_1,A10_2,A,10,predict_pair_full,0.0022016782313585,1.1654533054679632,1.1676549836993215,0.0302175562828779,250,0,24,24,0.4682050148068725,0.0,1.9705159719486296,1.495656422445503,1.6173079760925653,2.5673333017567392,0.008262412489347,0.2409823397849958
10,A11,A11_1,A11_2,A,10,manual_external,0.0022164322435855,1.634828981012106,1.6370454132556915,3.280863165855408e-05,424,0,24,24,0.5241374444357143,0.0,2.164418398891917,1.5889672506738806,1.8055175206018368,3.0562817201061256,0.0087778868596472,0.2658687195199298
10,A11,A11_1,A11_2,A,10,predict_pair_full,0.0022164322435855,1.0380777344107628,1.0402941666543484,0.0345305725932121,245,0,24,24,0.5241497795677831,0.0,2.164418398891917,1.58888341210116,1.8054090028593568,3.0561534319597023,0.0087774237125902,0.265907454439557
11,A12,A12_1,A12_2,A,10,manual_external,0.0022141560912132,1.4092343989759684,1.4114485550671816,3.277882933616638e-05,419,0,24,24,0.5569710588512609,0.0,1.82081378449932,1.5696272346594191,1.4281425203487337,2.452384555377632,0.008671047355959,0.1379529043437207
11,A12,A12_1,A12_2,A,10,predict_pair_full,0.0022141560912132,0.9255473855882884,0.9277615416795016,0.0305767636746168,251,0,24,24,0.556997849129071,0.0,1.82081378449932,1.5695796585862234,1.42803712370373,2.4522177271250043,0.008670784532803,0.1379790333600984
12,A13,A13_1,A13_2,A,10,manual_external,0.002342140302062,1.4642837643623352,1.4666259046643972,3.268010914325714e-05,441,0,24,24,0.5700454237763156,0.0,0.9601188679085876,0.5394200753013352,0.902184675304422,2.2139182069962864,0.0029799030715135,0.438173653981216
12,A13,A13_1,A13_2,A,10,predict_pair_full,0.002342140302062,0.9634188245981932,0.9657609649002552,0.0309005863964557,268,0,24,24,0.5700643982290381,0.0,0.9601188679085876,0.5393682859969461,0.90218972628354,2.2139714734664264,0.0029796169733234,0.4382275944943338
13,A14,A14_1,A14_2,A,10,manual_external,0.002287533134222,1.4520899709314108,1.4543775040656328,3.244727849960327e-05,427,0,24,24,0.5834364907221056,0.0,4.144017053855025,4.191993278274119,4.071436457391773,4.707728188009026,0.0231577099512191,-0.0115772265882572
13,A14,A14_1,A14_2,A,10,predict_pair_full,0.002287533134222,0.9979076161980628,1.000195149332285,0.0302077122032642,280,0,24,24,0.5834063847788196,0.0,4.144017053855025,4.192025216274121,4.071435479901795,4.707649688642775,0.0231578863854096,-0.0115849336028732
14,P01,P01_1,P01_2,P,10,manual_external,0.0021894183009862,1.589742191135883,1.5919316094368696,3.395974636077881e-05,472,0,24,24,0.0542397148815276,0.0,22.85724879621874,21.269866524796907,21.01111422763077,23.183263792231973,0.1175005223016924,0.0694476524963653
14,P01,P01_1,P01_2,P,10,predict_pair_full,0.0021894183009862,1.0315566919744017,1.0337461102753878,0.0333123691380023,256,0,24,24,0.0540670343690092,0.0,22.85724879621874,21.269729079437496,21.010945731833377,23.18300227519673,0.1174997630161793,0.0694536657029692
15,P02,P02_1,P02_2,P,10,manual_external,0.0024324301630258,0.8441487289965153,0.8465811591595411,2.374127507209778e-05,359,0,17,18,0.501066371201806,0.0,10.701022489119236,10.354475057630374,10.333804036612335,11.719236916653951,0.0572009338193547,0.0323845157640027
15,P02,P02_1,P02_2,P,10,predict_pair_full,0.0024324301630258,0.8709328304976225,0.8733652606606483,0.0304840244352817,244,0,17,18,0.501068993398706,0.0,10.701022489119236,10.354455999222008,10.333778312229972,11.719224401180016,0.0572008285355282,0.0323862967534722
16,P03,P03_1,P03_2,P,10,manual_external,0.0021862685680389,1.1276521738618612,1.1298384424299002,1.8222257494926453e-05,264,0,13,14,0.0540460562725759,0.0,23.5174590485668,23.96290021696938,23.612560338628352,25.066434938581416,0.1323775721899659,-0.018940871438605
16,P03,P03_1,P03_2,P,10,predict_pair_full,0.0021862685680389,0.8674210961908102,0.8696073647588491,0.0599568840116262,152,0,13,14,0.0540199718393926,0.0,23.5174590485668,23.96289031801053,23.6125698112989,25.06652396410336,0.1323775175054274,-0.0189404505190309
17,P04,P04_1,P04_2,P,10,manual_external,0.0022389665246009,1.1497850716114044,1.1520240381360054,2.653524279594421e-05,394,0,20,20,0.0517596624188583,0.0,53.63862132681312,52.142840140578045,52.23341639379888,54.76434621012075,0.2880512176072566,0.0278862720412303
17,P04,P04_1,P04_2,P,10,predict_pair_full,0.0022389665246009,0.7440022807568312,0.7462412472814322,0.0298690069466829,221,0,20,20,0.0517539414041918,0.0,53.63862132681312,52.14265838322906,52.23328858168092,54.76421082343684,0.2880502135302722,0.0278896605949345
18,P05,P05_1,P05_2,P,10,manual_external,0.0022430978715419,1.2879410106688738,1.2901841085404158,2.788566052913665e-05,414,0,21,21,0.0511129613304546,0.0,54.306525889218,52.77121843269004,52.64286388860974,55.13969398139598,0.2915225500408723,0.028271141108545
18,P05,P05_1,P05_2,P,10,predict_pair_full,0.0022430978715419,0.8733128067106009,0.8755559045821428,0.0299866255372762,245,0,21,21,0.051096845802417,0.0,54.306525889218,52.77111501163802,52.6427499695303,55.13956427832518,0.2915219787148785,0.0282730455030966
19,P06,P06_1,P06_2,P,10,manual_external,0.0022110417485237,2.4091246370226145,2.411335678771138,3.365427255630493e-05,466,0,24,24,0.2270540608495844,0.0,24.52069209479032,24.18030765431357,24.06853766810029,26.102435347955986,0.1335785899495477,0.013881518480877
19,P06,P06_1,P06_2,P,10,predict_pair_full,0.0022110417485237,1.2113733272999525,1.2135843690484762,0.0330883879214525,319,0,24,24,0.2270481273160533,0.0,24.52069209479032,24.180284050140862,24.06851856518478,26.10242218399392,0.1335784595536837,0.0138824811034904
20,P07,P07_1,P07_2,P,10,manual_external,0.0021851900964975,1.6855648159980774,1.687750006094575,3.2335519790649414e-05,450,0,24,24,0.0538198253474146,0.0,22.9139415528091,21.974317015423622,21.84535120721093,23.337945145779543,0.1213920982308514,0.0410066742651371
20,P07,P07_1,P07_2,P,10,predict_pair_full,0.0021851900964975,1.2469278667122126,1.24911305680871,0.0420492030680179,256,0,24,24,0.0538435026759356,0.0,22.9139415528091,21.97407874139511,21.84520223986717,23.33784250852088,0.1213907819403721,0.0410170729138359
21,P08,P08_1,P08_2,P,10,manual_external,0.0022574234753847,1.0728972405195236,1.0751546639949083,2.249889075756073e-05,279,0,14,15,0.0576395518915613,0.0,42.15570566841707,42.36942412041875,42.13324259051585,43.19040000415737,0.2340602118009138,-0.0050697396381336
21,P08,P08_1,P08_2,P,10,predict_pair_full,0.0022574234753847,0.6439341641962528,0.6461915876716375,0.0299536138772964,173,0,14,15,0.0576991075031743,0.0,42.15570566841707,42.36936652334328,42.133198922735616,43.19036770038449,0.2340598936190181,-0.0050683733444241
22,P09,P09_1,P09_2,P,10,manual_external,0.0022106226533651,1.116469457745552,1.1186800803989172,2.5544315576553345e-05,368,0,19,19,0.0520464096380959,0.0,50.27271320097208,50.69830401336547,50.09927752253627,52.08993231531325,0.2800712075195928,-0.0084656423991087
22,P09,P09_1,P09_2,P,10,predict_pair_full,0.0022106226533651,0.7881610076874495,0.7903716303408146,0.0303012561053037,233,0,19,19,0.0520042390365051,0.0,50.27271320097208,50.69829293736518,50.09926164502956,52.08993546685716,0.2800711463327575,-0.0084654220807773
23,P10,P10_1,P10_2,P,10,manual_external,0.0022297203540802,1.0630488526076078,1.065278572961688,2.0032748579978943e-05,306,0,12,14,0.0534619559566589,0.0,42.22404511405402,42.75601633480596,42.94424210052758,46.667417032571365,0.2361958522411257,-0.0125987744498183
23,P10,P10_1,P10_2,P,10,predict_pair_full,0.0022297203540802,0.8385240044444799,0.8407537247985601,0.0300085619091987,196,0,12,14,0.0534836877548281,0.0,42.22404511405402,42.75603287769479,42.94425288571345,46.66745505603806,0.2361959436285387,-0.0125991662381652
