pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,S01,S01_1,S01_2,S,10,predict_pair_full,0.0072815492749214,2.521476149559021,2.5287576988339424,0.0297613590955734,272,0,24,24,0.265233686993198,0.0,0.1046684566743434,1.582753425345888,0.1046684566743434,1.582753425345888,0.0,0.245005190372467,0.05,1.65,256,pair_full,14.5481451342701,14.580967077488753,14.14661434782622,16.536007066416893,0.04027461209668,-0.0022560912690052
1,S02,S02_1,S02_2,S,10,predict_pair_full,0.0061864741146564,2.5996754728257656,2.605861946940422,0.0283852145075798,269,0,24,24,0.5578973665985627,0.0,0.1071162356537715,1.59074270790548,0.1071162356537715,1.59074270790548,0.0,0.2584714293479919,0.05,1.65,256,pair_full,6.714483051694021,6.655873521909193,6.294474898252032,9.29318433712255,0.0183844269611796,0.0087288223582652
2,S03,S03_1,S03_2,S,10,predict_pair_full,0.0060470215976238,2.62936975248158,2.635416774079204,0.028551809489727,270,0,24,24,0.1448735590499446,0.0,0.1071162356537715,1.59074270790548,0.1071162356537715,1.59074270790548,0.0,0.2584714293479919,0.05,1.65,256,pair_full,21.12612442836216,21.553042418587204,20.80987922117705,25.353923816051083,0.0595324314429074,-0.0202080600098557
3,S04,S04_1,S04_2,S,10,predict_pair_full,0.0061892736703157,2.9646500274538994,2.970839301124215,0.0278549529612064,304,0,24,24,0.3602606654737432,0.0,0.1370006622975898,1.6796650505327142,0.1370006622975898,1.6796650505327142,0.0,0.4712114334106445,0.05,1.65,256,pair_full,1.816010193314957,1.5120384157566007,1.520567600999897,2.2843892420846728,0.004176455535922,0.1673844005271341
4,S05,S05_1,S05_2,S,10,predict_pair_full,0.0051446873694658,2.6620195396244526,2.6671642269939184,0.0296632777899503,244,0,18,18,0.078262071542285,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,1.1607788564220396,1.2232159018329385,1.2833061583121812,2.4016050702182845,0.00337868851188,-0.0537889237596034
5,S06,S06_1,S06_2,S,10,predict_pair_full,0.00536704808473587,2.794129900634289,2.7994969487190247,0.02770339883863926,302,0,23,23,0.33998526514678634,0.0,0.14015297764534704,1.6882550553315323,0.14015297764534704,1.6882550553315323,0.0,0.5,0.05,1.6500000000000001,256,pair_full,2.8797080183136954,2.8050932497804215,2.5397071203304664,3.3788407067254624,0.0077480486671107265,0.025910532616407744
