pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
28,P15,P15_1,P15_2,P,10,manual_external,0.0098376255482435,8.321102386340499,8.330940011888742,4.409998655319214e-05,314,0,16,16,0.0509053056559106,0.0,0.1,1.0,0.1,1.0,0.0,0.4873778820037842,0.05,1.65,256,fixed,158.53715314028182,158.39840881401966,157.6405216371991,160.16468895208197,0.4375179257873136,0.0008751533852785
28,P15,P15_1,P15_2,P,10,predict_pair_full,0.0075747519731521,5.843982258811593,5.851557010784745,0.1183312609791755,218,0,16,16,0.0508952907379384,0.0,0.1387903732634721,1.6845579934910735,0.1387903732634721,1.6845579934910735,0.0,0.4873778820037842,0.05,1.65,256,pair_full,158.53715314028182,158.39836268694603,157.64048524652117,160.16465282849362,0.4375177983780692,0.0008754443396241
28,P15,P15_1,P15_2,P,10,fixed_1_18,0.0094310846179723,25.83215614967048,25.84158723428845,3.0338764190673828e-05,1188,0,16,16,0.0509434679068049,0.0,1.0,1.8,1.0,1.8,0.0,0.4873778820037842,0.05,1.65,256,fixed,158.53715314028182,158.3986947652437,157.64075474926503,160.16491250748038,0.4375187156234449,0.000873349699402
28,P15,P15_1,P15_2,P,10,residual_balance,0.0094782523810863,26.278210600838065,26.28768885321915,3.653950989246368e-05,1178,0,16,16,0.0510061674973902,0.0,1.0,1.0,1.0,1.0,0.0,0.4873778820037842,0.05,1.65,256,fixed,158.53715314028182,158.39903163728837,157.64101712746742,160.1651586515763,0.4375196461098011,0.000871224821807
28,P15,P15_1,P15_2,P,10,adaptive_bb_proxy,0.0103052854537963,10.928564719855784,10.938870005309582,2.6071444153785706e-05,482,0,16,16,0.0508797819866784,0.0,1.0,1.0,1.0,1.0,0.0,0.4873778820037842,0.05,1.65,256,fixed,158.53715314028182,158.39827404089442,157.64042022193982,160.16458701760152,0.4375175535256309,0.0008760034896394
29,P16,P16_1,P16_2,P,10,manual_external,0.0330155100673437,10.375823287293317,10.40883879736066,3.666430711746216e-05,383,0,20,20,0.0529504150990655,0.0,0.1,1.0,0.1,1.0,0.0,0.4474296867847442,0.05,1.65,256,fixed,88.06119087386699,89.01463824882073,88.09335517923462,91.71537745734584,0.2458705247289397,-0.010827100627317
29,P16,P16_1,P16_2,P,10,predict_pair_full,0.0083853993564844,9.241756059229374,9.250141458585858,0.4432195164263248,255,0,20,20,0.0529623700916476,0.0,0.134271819564906,1.6721215719713451,0.134271819564906,1.6721215719713451,0.0,0.4474296867847442,0.05,1.65,256,pair_full,88.06119087386699,89.01465646107528,88.09335707490303,91.7153674102098,0.2458705750336611,-0.010827307440947
29,P16,P16_1,P16_2,P,10,fixed_1_18,0.0323723051697015,37.28124736435712,37.313619669526815,3.8929283618927e-05,1418,0,20,20,0.0529488901723688,0.0,1.0,1.8,1.0,1.8,0.0,0.4474296867847442,0.05,1.65,256,fixed,88.06119087386699,89.01424569547478,88.09322906998543,91.71555020792415,0.2458694404432643,-0.0108226428935294
29,P16,P16_1,P16_2,P,10,residual_balance,0.0327186416834592,31.770150918513536,31.802869560197,3.314390778541565e-05,1364,0,20,20,0.0529129224097476,0.0,1.0,1.0,1.0,1.0,0.0,0.4474296867847442,0.05,1.65,256,fixed,88.06119087386699,89.01381121812598,88.09310305325019,91.71577530796816,0.245868240357797,-0.0108177090816594
29,P16,P16_1,P16_2,P,10,adaptive_bb_proxy,0.0258570872247219,16.331750437617302,16.357607524842024,3.3777207136154175e-05,567,0,20,20,0.052969053183575,0.0,1.0,1.0,1.0,1.0,0.0,0.4474296867847442,0.05,1.65,256,fixed,88.06119087386699,89.01477770486046,88.09340558523404,91.71531126775857,0.2458709099254684,-0.0108286842538651
30,P17,P17_1,P17_2,P,10,manual_external,0.0325958579778671,8.492160141468048,8.524755999445915,3.805011510848999e-05,355,0,18,18,0.0518084224853281,0.0,0.1,1.0,0.1,1.0,0.0,0.1851415038108825,0.05,1.65,256,fixed,58.4794255311798,57.69800972177161,56.62140341046474,59.07347094784529,0.1593697419345001,0.0133622347058205
30,P17,P17_1,P17_2,P,10,predict_pair_full,0.0318274199962616,5.826390713453293,5.858218133449554,0.1106120571494102,206,0,18,18,0.051810022919033,0.0,0.0925001728150159,1.5410789721209364,0.0925001728150159,1.5410789721209364,0.0,0.1851415038108825,0.05,1.65,256,pair_full,58.4794255311798,57.69775631338842,56.62132059353273,59.0733720328692,0.1593690419861167,0.0133665679970744
30,P17,P17_1,P17_2,P,10,fixed_1_18,0.0081146657466888,26.82998695783317,26.83810162357986,3.1264498829841614e-05,1371,0,18,18,0.0518369879277705,0.0,1.0,1.8,1.0,1.8,0.0,0.1851415038108825,0.05,1.65,256,fixed,58.4794255311798,57.69871432816243,56.62164381231052,59.073772806613256,0.1593716881530822,0.0133501859145674
30,P17,P17_1,P17_2,P,10,residual_balance,0.0320735219866037,24.263925494626164,24.295999016612768,3.3620744943618774e-05,1268,0,18,18,0.0518537448797142,0.0,1.0,1.0,1.0,1.0,0.0,0.1851415038108825,0.05,1.65,256,fixed,58.4794255311798,57.69969468674801,56.621965544010685,59.07416044391927,0.1593743960366911,0.0133334217521861
30,P17,P17_1,P17_2,P,10,adaptive_bb_proxy,0.00643000565469265,8.766956437379122,8.773386443033814,2.8021633625030518e-05,504,0,18,18,0.05180881154708192,0.0,1.0,1.0,1.0,1.0,0.0,0.18514150381088257,0.05,1.6500000000000001,256,fixed,58.4794255311798,57.69763775760928,56.62128198136274,59.073328067904626,0.15936871451894727,0.013368595304594444
