pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
31,P18,P18_1,P18_2,P,10,manual_external,0.0198266133666038,6.217438967898488,6.237265581265092,3.516487777233124e-05,440,0,20,21,0.0502404704874484,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256,fixed,58.68225307342259,57.64254843375662,57.56559001406026,59.5073923286369,0.1592165503218098,0.0177175310287776
31,P18,P18_1,P18_2,P,10,predict_pair_full,0.0095478203147649,4.404183488339186,4.413731308653951,0.0970039907842874,281,0,20,21,0.0502444812786695,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,58.68225307342259,57.64260035979427,57.56562519499835,59.50744928574563,0.1592166937485806,0.0177166461609525
31,P18,P18_1,P18_2,P,10,fixed_1_18,0.009927837178111,26.031120743602514,26.041048580780625,3.84114682674408e-05,1620,0,20,21,0.0502584112171763,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256,fixed,58.68225307342259,57.64312916250968,57.565994247432094,59.50805342104195,0.1592181543735258,0.0177076348723991
31,P18,P18_1,P18_2,P,10,residual_balance,0.0092462003231048,15.486376207321882,15.495622407644989,3.782659769058228e-05,1568,0,20,21,0.0502876260683335,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,58.68225307342259,57.64369718360187,57.56639899613432,59.508750418789546,0.1592197233249561,0.0176979552663437
31,P18,P18_1,P18_2,P,10,adaptive_bb_proxy,0.0074125379323959,9.602664737030864,9.61007727496326,7.028505206108093e-05,646,0,20,21,0.0502289902381642,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,58.68225307342259,57.64233649655682,57.56544219244014,59.507168573744806,0.1592159649224693,0.0177211426351612
32,P19,P19_1,P19_2,P,10,manual_external,0.0090276449918746,5.4976279605180025,5.506655605509877,4.256889224052429e-05,427,0,20,22,0.0518994813392804,0.0,0.1,1.0,0.1,1.0,0.0,0.2823591828346252,0.05,1.65,256,fixed,40.85551770782443,40.63958685629092,40.45119742578693,42.99349636303164,0.1122520603543085,0.0052852310691232
32,P19,P19_1,P19_2,P,10,predict_pair_full,0.0087275337427854,3.3952017035335302,3.403929237276316,0.0423747841268777,271,0,20,22,0.0519088059207768,0.0,0.1112440224253722,1.6039433543858472,0.1112440224253722,1.6039433543858472,0.0,0.2823591828346252,0.05,1.65,256,pair_full,40.85551770782443,40.6395684245758,40.451178383458966,42.99349455995431,0.1122520094434072,0.0052856822129626
32,P19,P19_1,P19_2,P,10,fixed_1_18,0.0249780248850584,15.427531842142344,15.452509867027402,3.589503467082977e-05,1609,0,20,22,0.0518565904278859,0.0,1.0,1.8,1.0,1.8,0.0,0.2823591828346252,0.05,1.65,256,fixed,40.85551770782443,40.639666825149234,40.45126487719883,42.99348446509389,0.1122522812391601,0.0052832737115177
32,P19,P19_1,P19_2,P,10,residual_balance,0.0052888412028551,16.918423276394606,16.92371211759746,5.955062806606293e-05,1516,0,20,22,0.0518048758001359,0.0,1.0,1.0,1.0,1.0,0.0,0.2823591828346252,0.05,1.65,256,fixed,40.85551770782443,40.63977714456966,40.45137770377509,42.99347869823212,0.1122525859563877,0.0052805734784373
32,P19,P19_1,P19_2,P,10,adaptive_bb_proxy,0.0082170683890581,7.246015414595604,7.254232482984662,3.799237310886383e-05,655,0,20,22,0.0519197583712736,0.0,1.0,1.0,1.0,1.0,0.0,0.2823591828346252,0.05,1.65,256,fixed,40.85551770782443,40.63953993997541,40.451158334843285,42.99349168163006,0.1122519307650709,0.0052863794162287
33,P20,P20_1,P20_2,P,10,manual_external,0.008023539558053,6.219923103228211,6.227946642786264,4.3394044041633606e-05,405,0,20,20,0.0521872684303607,0.0,0.1,1.0,0.1,1.0,0.0,0.4080396890640259,0.05,1.65,256,fixed,52.6396801663892,52.37764286864211,52.72595773339842,54.62235908123139,0.1446741658397814,0.0049779424365764
