pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,S01,S01_1,S01_2,S,10,predict_pair_full,0.0067362263798713,2.4225310999900103,2.4292673263698816,0.0665092691779136,256,0,24,24,0.2652367082529111,0.0,0.0947870812613733,1.5491761117823668,0.1013493226037856,1.5717187541681068,0.0,0.245005190372467,0.05,1.65,256,level,14.5481451342701,14.580963851884457,14.146614866048258,16.53600577429272,0.0402746031871227,-0.002255869549723
1,S02,S02_1,S02_2,S,10,predict_pair_full,0.0060439482331275,2.44265778362751,2.4487017318606377,0.0700549408793449,257,0,24,24,0.5579003408833453,0.0,0.0986978288702036,1.5627299766171558,0.1043755105580097,1.581788961180311,0.0,0.2584714293479919,0.05,1.65,256,level,6.714483051694021,6.655867194877713,6.294470883427755,9.293180581799852,0.018384409485059,0.0087297646544078
2,S03,S03_1,S03_2,S,10,predict_pair_full,0.0053726490586996,3.738628024235368,3.7440006732940674,0.0794167034327983,248,0,24,24,0.1448724725908573,0.0,0.0986978288702036,1.5627299766171558,0.101366537883357,1.57177660282401,0.0,0.2584714293479919,0.05,1.65,256,level,21.12612442836216,21.553042935349545,20.80987787990372,25.353925800995256,0.0595324328702752,-0.0202080844706764
3,S04,S04_1,S04_2,S,10,predict_pair_full,0.0092098880559206,5.114569867029786,5.123779755085707,0.1734162177890539,264,0,24,24,0.3602718531023883,0.0,0.1235411508834866,1.6414186345411828,0.1044456402934408,1.5820200128251802,0.0,0.4712114334106445,0.05,1.65,256,level,1.816010193314957,1.5120863327062284,1.5205595581492375,2.28437617631282,0.0041765878890471,0.1673580146897616
4,S05,S05_1,S05_2,S,10,predict_pair_full,0.007321797311306,4.038434866815805,4.045756664127111,0.105973545461893,223,0,18,18,0.078259540370969,0.0,0.1375824340880178,1.6812602379332644,0.1187670843181121,1.627181106755763,0.0,0.5,0.05,1.65,256,level,1.1607788564220396,1.223178430850143,1.2832826587043755,2.4015772980596704,0.0033785850119345,-0.0537566428625249
5,S06,S06_1,S06_2,S,10,predict_pair_full,0.007860088720917702,8.19905917905271,8.206919267773628,0.14506134577095509,293,0,23,23,0.33998285450833676,0.0,0.1375824340880178,1.6812602379332644,0.13500124539142508,1.6741479401703057,0.0,0.5,0.05,1.6500000000000001,256,level,2.8797080183136954,2.80509378513327,2.539704466231533,3.3788463245454152,0.007748050145828028,0.025910346711154553
