method,label,n,median_iterations,iqr_iterations,median_total_seconds,iqr_total_seconds,median_tuning_seconds,median_tre,iqr_tre,nonpositive_fields,minimum_jacobian
manual_external,"Validation-selected fixed
(0.1, 1.0)",134,412.0,76.5,6.679574326612055,5.509384066332133,3.6143697798252106e-05,5.501777695160889,49.613327205027154,0,0.0500634121800769
fixed_1_18,"Fixed oADMM
(1.0, 1.8)",134,1529.5,274.5,23.47056172322482,19.7376535977237,3.849714994430542e-05,5.501940116879482,49.61347098386659,0,0.0500918446159603
residual_balance,"Residual
balancing",134,1434.0,252.5,22.32540780119598,14.413742868229747,3.917049616575241e-05,5.502110930024923,49.613607044846255,0,0.0500253316281313
adaptive_bb_proxy,"BB adaptive
proxy",134,623.5,150.0,9.4346047854051,11.334416898433119,3.474578261375427e-05,5.5017458890489666,49.61329275641656,0,0.0500013272060974
predict_pair_full,"Four-corner
one-shot",134,245.0,44.0,4.773756856098771,3.827631342690438,0.0567367365583777,5.501769767103941,49.61331654347729,0,0.0500608019032076
