side,pixels,rho,alpha,actual_radius,bound,valid,relative_gap,certificate_seconds,arnoldi_seconds,tail_l1,nnz,radius,base,correction
8,64,0.13182313975076748,1.834092294730558,0.2679724032293484,0.6808165939058581,True,1.5406220405582978,0.007638117298483849,1.3657181821763515,1.1035448878046556,0,0,0.2254007020642261,0.45541589184163206
8,64,0.13182313975076748,1.834092294730558,0.2679724032293484,0.6408102777963935,True,1.3913293685243624,0.043166736140847206,1.3657181821763515,0.5336756903766209,512,1,0.4205705819100128,0.2202396958863807
8,64,0.13182313975076748,1.834092294730558,0.2679724032293484,0.6391382879696059,True,1.3850899580229885,0.10906919091939926,1.3657181821763515,0.22215280502294685,1536,2,0.5474592643587834,0.09167902361082253
8,64,0.13182313975076748,1.834092294730558,0.2679724032293484,0.6382535191132879,True,1.3817882417057272,0.2729232255369425,1.3657181821763515,0.0,4032,4,0.6382535191132879,0.0
8,64,0.13182313975076748,1.834092294730558,0.2679724032293484,0.6382535191132882,True,1.3817882417057286,0.27517923153936863,1.3657181821763515,0.0,4032,8,0.6382535191132882,0.0
16,256,0.13182313975076748,1.834092294730558,0.2685054234275547,0.6809653489696122,True,1.5361325677406408,0.021337388083338737,0.09100551716983318,1.103780763650874,0,0,0.22545211481770663,0.4555132341519056
16,256,0.13182313975076748,1.834092294730558,0.2685054234275547,0.6552920373976343,True,1.440516951324964,0.16098425723612309,0.09100551716983318,0.5363920766038156,2048,1,0.43393133096613185,0.22136070643150246
16,256,0.13182313975076748,1.834092294730558,0.2685054234275547,0.6415627999167398,True,1.3893848836533447,0.43267439119517803,0.09100551716983318,0.23351856471424165,6144,2,0.5451933032282286,0.0963694966885112
16,256,0.13182313975076748,1.834092294730558,0.2685054234275547,0.6405947147274345,True,1.3857794250486453,1.3715254683047533,0.09100551716983318,0.03982314351077128,20480,4,0.6241603198801398,0.016434394847294666
16,256,0.13182313975076748,1.834092294730558,0.2685054234275547,0.6401874499864465,True,1.3842626410083487,4.249048771336675,0.09100551716983318,0.0,65280,8,0.6401874499864465,0.0
32,1024,0.13182313975076748,1.834092294730558,0.2686280791166024,0.6809654136088049,True,1.5349748092165032,0.07532088086009026,0.26268473640084267,1.1037808661470452,0,0,0.22545213715831616,0.4555132764504888
32,1024,0.13182313975076748,1.834092294730558,0.2686280791166024,0.6680658208997464,True,1.4869545398854656,0.6209035683423281,0.26268473640084267,0.5363932704193193,8192,1,0.44670462179906634,0.22136119910068006
32,1024,0.13182313975076748,1.834092294730558,0.2686280791166024,0.6587197470837258,True,1.4521626676182193,1.7329970002174377,0.26268473640084267,0.23352372324890938,24576,2,0.5623481215478137,0.09637162553591222
32,1024,0.13182313975076748,1.834092294730558,0.2686280791166024,0.648733278003601,True,1.414986847752456,5.450634991750121,0.26268473640084267,0.03987572722630007,81920,4,0.6322771826709265,0.01645609533267459
32,1024,0.13182313975076748,1.834092294730558,0.2686280791166024,0.6448776365984018,True,1.400633763674728,18.625383622944355,0.26268473640084267,0.0010390952836534758,294912,8,0.6444488180604855,0.00042881853791637396
64,4096,0.13182313975076748,1.834092294730558,0.26865811756996133,0.6809654136088221,True,1.534691375671877,0.2762347646057606,1.9504896197468042,1.1037808661470716,0,0,0.22545213715832252,0.45551327645049966
64,4096,0.13182313975076748,1.834092294730558,0.26865811756996133,0.6744997192472796,True,1.5106247499543093,2.4138956647366285,1.9504896197468042,0.5363932704196581,32768,1,0.4531385201464597,0.2213611991008199
64,4096,0.13182313975076748,1.834092294730558,0.26865811756996133,0.6697926421372785,True,1.4931040543111735,6.761000856757164,1.9504896197468042,0.23352372325039594,98304,2,0.5734210166007528,0.0963716255365257
64,4096,0.13182313975076748,1.834092294730558,0.26865811756996133,0.6646798245945408,True,1.4740731104893987,20.698224052786827,1.9504896197468042,0.039875727242447215,327680,4,0.6482237292552026,0.016456095339338266
64,4096,0.13182313975076748,1.834092294730558,0.26865811756996133,0.662561915388004,True,1.4661898228906711,81.4394492842257,1.9504896197468042,0.0010390962451532878,1179648,8,0.6621330964532915,0.0004288189347124619
