pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,A01,A01_1,A01_2,A,10,predict_pair_full,0.0070197712630033,8.73154192790389,8.738561699166894,0.0886819753795862,260,0,21,21,0.0507696325193164,0.0,0.1147146862168005,1.614790788132549,0.1147146862168005,1.614790788132549,0.0,0.3036482632160187,0.05,1.65,256,pair_full,5.612193218490781,5.155565216074937,5.680710407025559,8.870612989574852,0.0142403715825627,0.0813635569267798
1,A02,A02_1,A02_2,A,10,predict_pair_full,0.0059164389967918,6.296590125188232,6.302506564185023,0.08914733864367,188,0,13,14,0.0545703837369484,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,4.707571940010588,4.764067988978442,4.731295032070509,7.081767530579312,0.0131590030509391,-0.0120011015629246
2,A03,A03_1,A03_2,A,10,predict_pair_full,0.0058503728359937,5.3136380929499865,5.31948846578598,0.0883285365998745,213,0,16,17,0.0621204907044753,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,1.9024326213095144,1.7931000042600094,1.7450118333775548,3.163617229509548,0.0049527858295229,0.0574699023901251
3,A04,A04_1,A04_2,A,10,predict_pair_full,0.029937969520688,12.30766555853188,12.337603528052568,0.0994445420801639,296,0,23,23,0.0532978114770762,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,3.622370434569122,3.3216313834326976,3.84958259525985,7.606277314029692,0.0091747971712004,0.0830227213283653
4,A05,A05_1,A05_2,A,10,predict_pair_full,0.0282039977610111,6.546717511489987,6.574921509250999,0.214006096124649,164,0,12,12,0.0517449102806931,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,5.30752520580098,5.847974318132944,5.682169403340185,9.006565894640673,0.0161528995959241,-0.1018269516158238
5,A06,A06_1,A06_2,A,10,predict_pair_full,0.008893420919775963,13.04587534070015,13.054768761619925,0.11711416952311993,275,0,19,20,0.05185309536665861,0.0,0.14015297764534704,1.6882550553315323,0.14015297764534704,1.6882550553315323,0.0,0.5,0.05,1.6500000000000001,256,pair_full,1.5351514584947024,1.8013441771793128,1.7984035414141009,2.707083702776008,0.004975557355212476,-0.17339834269151067
