repetition,pair_index,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,min_jacobian,min_interior_jacobian,nonpositive_fraction
0,0,manual_external,0.4106537941843271,0.6242356244474649,1.034889418631792,5.606561899185181e-06,80,0.9387034865478068,0.9387034865478068,0.0
0,0,predict_pair_full,0.4106537941843271,0.4985847380012274,0.9092385321855545,0.02274777740240097,56,0.9387034881113141,0.9387034881113141,0.0
0,1,predict_pair_full,0.39702165499329567,0.503305222839117,0.9003268778324127,0.021920209750533104,98,0.45969825418881016,0.45969825418881016,0.0
0,1,manual_external,0.39702165499329567,0.6310293152928352,1.028050970286131,8.266419172286987e-06,145,0.4597006210463353,0.4597006210463353,0.0
0,2,manual_external,0.410697503015399,0.888101439923048,1.298798942938447,1.2563541531562805e-05,226,0.018581515944801064,0.018581515944801064,0.0
0,2,predict_pair_full,0.410697503015399,0.6991412118077278,1.1098387148231268,0.02213326469063759,154,0.018580950324847023,0.018580950324847023,0.0
0,3,predict_pair_full,0.4104827046394348,0.5747391153126955,0.9852218199521303,0.02145463414490223,140,0.006534099947626271,0.006534099947626271,0.0
0,3,manual_external,0.4104827046394348,0.7234786730259657,1.1339613776654005,1.1874362826347351e-05,195,0.006532826103784972,0.006532826103784972,0.0
0,4,manual_external,0.393626032397151,0.698214590549469,1.09184062294662,1.1548399925231934e-05,201,-0.02527935180053109,-0.02527935180053109,3.0517578125e-05
0,4,predict_pair_full,0.393626032397151,0.5566783491522074,0.9503043815493584,0.021906232461333275,140,-0.02528221000914005,-0.02528221000914005,3.0517578125e-05
0,5,predict_pair_full,0.4019938260316849,0.5550962351262569,0.9570900611579418,0.0221574604511261,140,0.024253237303877073,0.024253237303877073,0.0
0,5,manual_external,0.4019938260316849,0.6968453675508499,1.0988391935825348,1.1203810572624207e-05,201,0.024214832934690733,0.024214832934690733,0.0
0,6,manual_external,0.3968596141785383,0.6951855700463057,1.092045184224844,1.1332333087921143e-05,195,-0.06345059905328232,-0.06345059905328232,6.103515625e-05
