pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
59,P46,P46_1,P46_2,P,10,fixed_1_1,0.0032435692846775,10.54686808399856,10.550111653283238,3.867968916893005e-05,2932,0,24,24,0.0507682518630318,0.0,22.56464230194358,21.62163476539079,21.245731032984743,22.40217605267394,0.1194437856480205,0.0417913798027509
59,P46,P46_1,P46_2,P,10,fixed_1_18,0.0032435692846775,5.452131072059274,5.455374641343951,4.078075289726257e-05,1755,0,24,24,0.0507717805355364,0.0,22.56464230194358,21.621358790740764,21.24506447358097,22.40184391482542,0.1194422610890637,0.0418036102049144
59,P46,P46_1,P46_2,P,10,residual_balance,0.0032435692846775,5.278485441580415,5.281729010865092,4.392676055431366e-05,1648,0,24,24,0.0507706396622862,0.0,22.56464230194358,21.621598530932147,21.24567050358665,22.402135403496384,0.1194435854790251,0.041792985609666
59,P46,P46_1,P46_2,P,10,adaptive_bb_proxy,0.0032435692846775,2.872801497578621,2.8760450668632984,4.283525049686432e-05,685,0,24,24,0.0507708970701495,0.0,22.56464230194358,21.62097942990681,21.24431668341557,22.40143100260124,0.119440165396734,0.0418204223851774
60,P47,P47_1,P47_2,P,10,fixed_1_1,0.0026269406080245,12.708344250917436,12.71097119152546,4.964135587215424e-05,3248,0,24,24,0.0529642630021223,0.0,21.883250710188943,21.8602878656149,21.31668773710847,23.47983808799564,0.1207621702223929,0.0010493342547297
60,P47,P47_1,P47_2,P,10,fixed_1_18,0.0026269406080245,7.728047816082835,7.73067475669086,4.583410918712616e-05,1920,0,24,24,0.0529040529641678,0.0,21.883250710188943,21.860080589734515,21.31637571993789,23.479699336319552,0.120761025174107,0.0010588061509817
60,P47,P47_1,P47_2,P,10,residual_balance,0.0026269406080245,6.860063761472702,6.862690702080727,4.880689084529877e-05,1821,0,24,24,0.0529562981759346,0.0,21.883250710188943,21.860263362998285,21.316654661055424,23.479810074778623,0.1207620348632807,0.0010504539520241
60,P47,P47_1,P47_2,P,10,adaptive_bb_proxy,0.0026269406080245,3.268768252804876,3.2713951934129,4.884600639343262e-05,758,0,24,24,0.0528597221722644,0.0,21.883250710188943,21.85986804305992,21.31607218344077,23.47959681858204,0.1207598510085216,0.0010685189069798
61,P48,P48_1,P48_2,P,10,fixed_1_1,0.0026435069739818,8.110904917120934,8.113548424094915,4.633702337741852e-05,2782,0,22,22,0.0502031257257458,0.0,22.02329386932275,21.725287553564783,21.040707605247142,22.24478040848249,0.1200163918152606,0.0135314143981912
61,P48,P48_1,P48_2,P,10,fixed_1_18,0.0026435069739818,5.854421066120267,5.857064573094249,4.4994056224823e-05,1664,0,22,22,0.0501984433459401,0.0,22.02329386932275,21.72510378651918,21.040286753162285,22.244706663965182,0.120015376636166,0.0135397586107641
61,P48,P48_1,P48_2,P,10,residual_balance,0.0026435069739818,5.239418530836701,5.242062037810683,4.318729043006897e-05,1540,0,22,22,0.050202389093794,0.0,22.02329386932275,21.72526741400562,21.04067695976569,22.244764601174936,0.1200162805588633,0.0135323288644505
61,P48,P48_1,P48_2,P,10,adaptive_bb_proxy,0.0026435069739818,2.158543892204761,2.161187399178744,4.6333298087120056e-05,627,0,22,22,0.0501765750067052,0.0,22.02329386932275,21.72486437656835,21.03981494246787,22.24456755421567,0.1200140540705432,0.0135506293711624
62,P49,P49_1,P49_2,P,10,fixed_1_1,0.0024074856191873,5.159833338111639,5.162240823730826,3.905408084392548e-05,2266,0,18,19,0.0500332907703424,0.0,29.02132957181608,28.747747228857467,28.8294572426298,30.919785804215525,0.1588103672606398,0.009426940357181
62,P49,P49_1,P49_2,P,10,fixed_1_18,0.0024074856191873,4.373621731996536,4.376029217615724,3.998167812824249e-05,1354,0,18,19,0.0500641836384209,0.0,29.02132957181608,28.74750434220532,28.82943484602568,30.91984644469604,0.1588090254887741,0.0094353096033781
62,P49,P49_1,P49_2,P,10,residual_balance,0.0024074856191873,3.649740092456341,3.652147578075528,3.523938357830048e-05,1271,0,18,19,0.050036294521441,0.0,29.02132957181608,28.74774410934671,28.829461110114217,30.91979074264457,0.1588103500276147,0.0094270478474581
62,P49,P49_1,P49_2,P,10,adaptive_bb_proxy,0.0024074856191873,2.1245381347835064,2.1269456204026937,4.111602902412415e-05,557,0,18,19,0.0500990415839336,0.0,29.02132957181608,28.74729193507777,28.82942978227048,30.91990365207342,0.1588078520940846,0.0094426286039434
63,S01,S01_1,S01_2,S,10,fixed_1_1,0.0024317111819982,10.297321317717431,10.299753028899431,6.217695772647858e-05,2657,0,24,24,0.4775568157696911,0.0,7.27407256713505,7.215267295330975,6.69251362805973,8.204270277561445,0.0398590971297035,0.0080842294687512
63,S01,S01_1,S01_2,S,10,fixed_1_18,0.0024317111819982,15.057903673499824,15.06033538468182,6.699934601783752e-05,1600,0,24,24,0.4776473225555896,0.0,7.27407256713505,7.214780266262417,6.6920695798065735,8.2041331791789,0.0398564066487893,0.0081511835806414
63,S01,S01_1,S01_2,S,10,residual_balance,0.0024317111819982,18.604993149638176,18.60742486082017,4.851818084716797e-05,1542,0,24,24,0.4775620106664872,0.0,7.27407256713505,7.215228485428039,6.692485745737535,8.204255143162555,0.0398588827332539,0.008089564843478
63,S01,S01_1,S01_2,S,10,adaptive_bb_proxy,0.0024317111819982,7.872592085972428,7.875023797154427,4.775635898113251e-05,655,0,24,24,0.4777491422451841,0.0,7.27407256713505,7.214169006669346,6.691545133501478,8.203920301367202,0.0398530298847008,0.0082352162304987
64,S02,S02_1,S02_2,S,10,fixed_1_1,0.00248153880238533,23.430584765970707,23.433066304773092,4.915706813335419e-05,2481,0,24,24,0.6905160460322415,0.0,3.3572415258470105,3.138092200038441,3.1045605948672974,4.483495774563566,0.017335674020592134,0.06527660405791469
64,S02,S02_1,S02_2,S,10,fixed_1_18,0.00248153880238533,15.782561210915446,15.785042749717832,5.321763455867767e-05,1507,0,24,24,0.6905385333009872,0.0,3.3572415258470105,3.1375652787239834,3.1041538933804462,4.483051667465666,0.017332763164071785,0.06543355473018553
64,S02,S02_1,S02_2,S,10,residual_balance,0.00248153880238533,12.392967766150832,12.395449304953218,4.7305598855018616e-05,1475,0,24,24,0.6905156494048827,0.0,3.3572415258470105,3.138057427038431,3.1045341498753807,4.483466580976771,0.01733548192509128,0.06528696166839398
64,S02,S02_1,S02_2,S,10,adaptive_bb_proxy,0.00248153880238533,6.4455027636140585,6.447984302416444,4.544854164123535e-05,640,0,24,24,0.6905653068344635,0.0,3.3572415258470105,3.13694924476325,3.103680365596545,4.482540405896457,0.017329360025079007,0.0656170488148351
