pair_index,fixed,moving,method,rho,alpha,spectral_radius_8,rho_evaluations,initialization_seconds,tuning_seconds,solver_seconds,total_seconds,inner_iterations,min_jacobian,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Cc10-5-les3,numerical_spectral_8,0.1588142158966216,1.56829693185106,0.41215635931694394,94,0.41177263110876083,2.1601961068809032,0.49886043928563595,3.0708291772753,62,0.9387034515034496,30.725935459292167,2.3505735885594587,2.9045257046612156,6.648834849745917,0.0064926036099546515,0.9234987135973888
1,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-He-les3,numerical_spectral_8,0.15504353993621886,1.57581865563368,0.4213839194959453,95,0.3905626963824034,2.1536140348762274,0.5064723193645477,3.0506490506231785,107,0.4597041256857627,26.546367999946977,2.615479238083572,3.150920706463787,6.8929598398011915,0.0072243090050840555,0.9014750628753132
2,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-Ki67-7-les3,numerical_spectral_8,0.17998013981548483,1.6204078373884,0.4376159077860623,97,0.3980436883866787,2.1820224449038506,1.7913315054029226,4.371397638693452,240,0.055352500549681605,17.73861420564515,7.368580604857209,8.139169976550694,19.735259031485036,0.020353020755524236,0.5846022400942557
3,29-041-Izd2-w35-CD31-3-les3,29-041-Izd2-w35-proSPC-4-les3,numerical_spectral_8,0.19042237915645327,1.61361169633966,0.4221267095845968,97,0.4000088032335043,2.161032620817423,1.8422968406230211,4.403338264673948,254,0.05592623432338373,26.68035411229203,22.394835119984037,22.426839066400973,41.37227492130307,0.061857577253497505,0.1606245169862116
4,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-He-les3,numerical_spectral_8,0.15504353993621886,1.57581865563368,0.4213839194959453,95,0.38129162788391113,2.1727974452078342,2.4412021283060312,4.995291201397777,323,0.05561767485483782,6.26738771172554,5.67277254256137,5.922437873608638,11.795452494375883,0.015668968488179676,0.09487448304047241
5,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-Ki67-7-les3,numerical_spectral_8,0.17998013981548483,1.6204078373884,0.4376159077860623,97,0.3925414867699146,2.1976013239473104,1.973165089264512,4.563307899981737,248,0.05268820205199459,14.736972837785341,2.809092592675114,4.168996378490664,11.458591727215781,0.007759095395552629,0.8093846936141017
6,29-041-Izd2-w35-Cc10-5-les3,29-041-Izd2-w35-proSPC-4-les3,numerical_spectral_8,0.19042237915645327,1.61361169633966,0.4221267095845968,97,0.39579544216394424,2.1802081130445004,1.8288557454943657,4.40485930070281,302,0.052712853792248826,16.92100306558365,12.815724000947174,14.838708183515468,30.66342394222768,0.03539877088626929,0.2426144034561627
7,29-041-Izd2-w35-He-les3,29-041-Izd2-w35-Ki67-7-les3,numerical_spectral_8,0.17998013981548483,1.6204078373884,0.4376159077860623,97,0.3847143668681383,2.188557581976056,2.0513091906905174,4.624581139534712,254,0.05403211115766557,11.607179650620981,9.225144365037199,10.287198266190762,22.194228972260905,0.025481102101338554,0.2052208509977137
8,29-041-Izd2-w35-He-les3,29-041-Izd2-w35-proSPC-4-les3,numerical_spectral_8,0.19042237915645327,1.61361169633966,0.4221267095845968,97,0.3950073067098856,2.183451022952795,1.2744076251983643,3.852865954861045,230,0.06686882803745697,15.339291583350814,11.369384569853796,13.698920884722511,33.64424561581579,0.031403784872114524,0.25880641175150054
9,29-041-Izd2-w35-Ki67-7-les3,29-041-Izd2-w35-proSPC-4-les3,numerical_spectral_8,0.19042237915645327,1.61361169633966,0.4221267095845968,97,0.40552185475826263,2.177533695474267,1.784126991406083,4.367182541638613,306,0.05141067185307219,13.784747526920647,7.292921259937025,8.856656539454672,19.076412917018267,0.020144039365472693,0.47094270347030587
