pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
60,P47,P47_1,P47_2,P,10,manual_external,0.007255770266056,5.0042541939765215,5.0115099642425776,3.0236318707466125e-05,408,0,17,19,0.0510379192696727,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256,fixed,43.766501420377885,43.55767936713782,43.426772244432485,44.53734938340898,0.1203122283330176,0.0047712758951262
60,P47,P47_1,P47_2,P,10,predict_pair_full,0.0093987844884395,4.509213380515575,4.518612165004015,0.0853370036929845,271,0,17,19,0.0510378142736838,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,43.766501420377885,43.557682091231,43.426777941290176,44.53735648771202,0.1203122358573331,0.0047712136536153
60,P47,P47_1,P47_2,P,10,fixed_1_18,0.0091617256402969,16.986282600089908,16.995444325730205,3.279559314250946e-05,1559,0,17,19,0.0510225670071665,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256,fixed,43.766501420377885,43.55777021935579,43.42695602645769,44.53754463521594,0.1203124792791872,0.0047692000559567
60,P47,P47_1,P47_2,P,10,residual_balance,0.0101991668343544,15.303381249308586,15.31358041614294,2.901628613471985e-05,1475,0,17,19,0.0510024425218299,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,43.766501420377885,43.557861652517246,43.42716009056086,44.53775474867968,0.1203127318300016,0.0047671109430851
60,P47,P47_1,P47_2,P,10,adaptive_bb_proxy,0.0073929447680711,5.581682525575161,5.589075470343232,2.9431656002998352e-05,602,0,17,19,0.0510459411460729,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,43.766501420377885,43.55769505342923,43.42671152444192,44.53728174489661,0.1203122716606857,0.0047709174865055
61,P48,P48_1,P48_2,P,10,manual_external,0.0059517957270145,1.8542627468705173,1.8602145425975325,2.392195165157318e-05,361,0,18,18,0.054231974162577,0.0,0.1,1.0,0.1,1.0,0.0,0.2441573590040207,0.05,1.65,256,fixed,44.0465877386455,43.86056618311554,43.5689729094737,45.0125880389622,0.1211488428701655,0.0042232909535405
61,P48,P48_1,P48_2,P,10,predict_pair_full,0.005908640101552,1.2054184898734093,1.2113271299749613,0.0264941900968551,208,0,18,18,0.0542337848150518,0.0,0.1045112147437873,1.5822359629730918,0.1045112147437873,1.5822359629730918,0.0,0.2441573590040207,0.05,1.65,256,pair_full,44.0465877386455,43.8605622063636,43.56893986869365,45.012548467057165,0.1211488318858363,0.0042233812386716
61,P48,P48_1,P48_2,P,10,fixed_1_18,0.0058041047304868,6.110460914671421,6.116265019401908,2.308562397956848e-05,1390,0,18,18,0.0542572038699034,0.0,1.0,1.8,1.0,1.8,0.0,0.2441573590040207,0.05,1.65,256,fixed,44.0465877386455,43.86061732587751,43.56921452055082,45.01289171002354,0.1211489841334225,0.0042221298474347
61,P48,P48_1,P48_2,P,10,residual_balance,0.0059136617928743,5.840212618932128,5.846126280725002,2.3014843463897705e-05,1291,0,18,18,0.0542763517572206,0.0,1.0,1.0,1.0,1.0,0.0,0.2441573590040207,0.05,1.65,256,fixed,44.0465877386455,43.86066429478479,43.5694985032026,45.01320688912288,0.1211491138679258,0.0042210635013295
61,P48,P48_1,P48_2,P,10,adaptive_bb_proxy,0.0058917514979839,2.591623671352864,2.5975154228508472,2.603605389595032e-05,519,0,18,18,0.0542333193281972,0.0,1.0,1.0,1.0,1.0,0.0,0.2441573590040207,0.05,1.65,256,fixed,44.0465877386455,43.86054258179385,43.56885150970734,45.01244191748122,0.1211487776801084,0.0042238267798759
62,P49,P49_1,P49_2,P,10,manual_external,0.0059609245508909,2.3576316870749,2.3635926116257906,2.340786159038544e-05,397,0,19,19,0.0522113139779796,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256,fixed,58.04265914363216,58.07534661588932,58.12114249055278,61.34273221394672,0.1604119977025568,-0.000563162900157
62,P49,P49_1,P49_2,P,10,predict_pair_full,0.0057706478983163,1.648266838863492,1.6540374867618084,0.0263759233057498,255,0,19,19,0.0522143591591963,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,58.04265914363216,58.07535018793215,58.12114421940532,61.342719138937,0.1604120075690244,-0.0005632244418383
62,P49,P49_1,P49_2,P,10,fixed_1_18,0.0057473853230476,9.391404550522566,9.397151935845612,2.690963447093964e-05,1396,0,19,19,0.0522709627891074,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256,fixed,58.04265914363216,58.07541242390729,58.12116718632005,61.34251323121478,0.1604121794732434,-0.0005642966872532
62,P49,P49_1,P49_2,P,10,residual_balance,0.0080231390893459,11.570860210806131,11.578883349895476,4.994496703147888e-05,1295,0,19,19,0.0523459293732705,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,58.04265914363216,58.0754878861742,58.12119782200633,61.34226976164413,0.1604123879102772,-0.0005655968045812
62,P49,P49_1,P49_2,P,10,adaptive_bb_proxy,0.008151546120643616,4.984036576002836,4.99218812212348,3.2104551792144775e-05,562,0,19,19,0.05219943090755047,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.6500000000000001,256,fixed,58.042659143632164,58.07533748672693,58.12114076517131,61.34277604537163,0.16041197248657,-0.0005630056164880326
