repetition,pair_index,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,min_jacobian,min_interior_jacobian,nonpositive_fraction
0,0,manual_external,0.41296688467264175,0.6262320224195719,1.0391989070922136,4.7031790018081665e-06,80,0.9387034865478068,0.9387034865478068,0.0
0,0,predict_pair_full,0.41296688467264175,0.4964600820094347,0.9094269666820765,0.022246962413191795,56,0.9387034881113141,0.9387034881113141,0.0
0,1,predict_pair_full,0.411531213670969,0.5031024031341076,0.9146336168050766,0.021832792088389397,98,0.45969825418881016,0.45969825418881016,0.0
0,1,manual_external,0.411531213670969,0.6379777528345585,1.0495089665055275,6.278976798057556e-06,145,0.4597006210463353,0.4597006210463353,0.0
0,2,manual_external,0.3990802802145481,2.230146201327443,2.6292264815419912,1.5640631318092346e-05,306,0.05536546950087795,0.05536546950087795,0.0
0,2,predict_pair_full,0.3990802802145481,1.6840462572872639,2.083126537501812,0.022602751851081848,210,0.05536755735457438,0.05536755735457438,0.0
0,3,predict_pair_full,0.404561884701252,1.655196527019143,2.059758411720395,0.02277177758514881,210,0.05592757829756728,0.05592757829756728,0.0
0,3,manual_external,0.404561884701252,2.147216947749257,2.551778832450509,1.710839569568634e-05,295,0.055928829647312106,0.055928829647312106,0.0
0,4,manual_external,0.3929402679204941,3.3268234748393297,3.719763742759824,2.4434179067611694e-05,441,0.05563528008483665,0.05563528008483665,0.0
0,4,predict_pair_full,0.3929402679204941,2.510642047971487,2.903582315891981,0.021665431559085846,308,0.05564950307165095,0.05564950307165095,0.0
0,5,predict_pair_full,0.3926929999142885,1.7957278490066528,2.1884208489209414,0.022054223343729973,210,0.05278324758612102,0.05278324758612102,0.0
0,5,manual_external,0.3926929999142885,2.3713230956345797,2.764016095548868,1.667812466621399e-05,301,0.05274773753013701,0.05274773753013701,0.0
0,6,manual_external,0.3984456267207861,2.149416657164693,2.547862283885479,1.8456950783729553e-05,355,0.0527354187962939,0.0527354187962939,0.0
0,6,predict_pair_full,0.3984456267207861,1.6383299585431814,2.0367755852639675,0.02187822014093399,253,0.052746145665989286,0.052746145665989286,0.0
0,7,predict_pair_full,0.4057846684008837,1.95088498480618,2.3566696532070637,0.02227885276079178,224,0.05404833807852688,0.06292273041779656,0.0
0,7,manual_external,0.4057846684008837,2.546924127265811,2.9527087956666946,2.775713801383972e-05,313,0.054043713705439395,0.06298199899993359,0.0
0,8,manual_external,0.39721089601516724,1.4814424850046635,1.8786533810198307,1.393444836139679e-05,269,0.06685350976444876,0.06685350976444876,0.0
