policy,n,median_tuning_seconds,median_iterations,median_total_seconds,median_tre
one_shot,18,0.029643072746694053,243.0,2.651290500536561,6.251923920021069
per_level,18,0.10964353848248715,222.0,3.8948786687105894,6.25191776832473
