pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
38,P25,P25_1,P25_2,P,10,manual_external,0.0102926511317491,9.440657448023558,9.450950099155309,3.8994476199150085e-05,416,0,20,21,0.0530693945907495,0.0,0.1,1.0,0.1,1.0,0.0,0.4228431582450866,0.05,1.65,256,fixed,65.63354208762586,65.7417570819405,65.64853886728203,69.86270100055222,0.181587664999058,-0.0016487757764036
38,P25,P25_1,P25_2,P,10,predict_pair_full,0.0095824226737022,7.123360620811582,7.132943043485284,0.037266619503498,281,0,20,21,0.0530565573044647,0.0,0.1313214056687939,1.663849090912645,0.1313214056687939,1.663849090912645,0.0,0.4228431582450866,0.05,1.65,256,pair_full,65.63354208762586,65.74175584497183,65.64853768528064,69.86270560726673,0.1815876615823825,-0.0016487569298104
38,P25,P25_1,P25_2,P,10,fixed_1_18,0.0094831995666027,26.65784507803619,26.667328277602792,4.155375063419342e-05,1556,0,20,21,0.0531132053279943,0.0,1.0,1.8,1.0,1.8,0.0,0.4228431582450866,0.05,1.65,256,fixed,65.63354208762586,65.74176204624018,65.64855407468562,69.86262674568256,0.1815876787111282,-0.0016488514130297
38,P25,P25_1,P25_2,P,10,residual_balance,0.0096067544072866,26.17362267151475,26.18322942592204,4.1387975215911865e-05,1533,0,20,21,0.0531732908709028,0.0,1.0,1.0,1.0,1.0,0.0,0.4228431582450866,0.05,1.65,256,fixed,65.63354208762586,65.74176418041213,65.64857227592344,69.86254267197285,0.1815876846060011,-0.0016488839295127
38,P25,P25_1,P25_2,P,10,adaptive_bb_proxy,0.0097807459533214,8.98811573907733,8.997896485030651,3.845617175102234e-05,652,0,20,21,0.0530433440479908,0.0,1.0,1.0,1.0,1.0,0.0,0.4228431582450866,0.05,1.65,256,fixed,65.63354208762586,65.7417540452543,65.64853041660889,69.86272507648658,0.1815876566113181,-0.0016487295091125
39,P26,P26_1,P26_2,P,10,manual_external,0.0064988136291503,3.262137446552515,3.2686362601816654,2.797320485115052e-05,365,0,16,17,0.0508930260459782,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256,fixed,75.5806395847509,75.54519597290323,75.78341458322272,77.81663759757336,0.2086660951504161,0.0004689509382745
39,P26,P26_1,P26_2,P,10,predict_pair_full,0.0067165791988372,2.2784518003463745,2.285168379545212,0.0292703099548816,234,0,16,17,0.0508844122784036,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256,pair_full,75.5806395847509,75.54519508770936,75.78341197414109,77.81663986164921,0.2086660927053904,0.0004689626501874
39,P26,P26_1,P26_2,P,10,fixed_1_18,0.0066226590424776,15.643864529207349,15.650487188249826,3.0471011996269223e-05,1290,0,16,17,0.0507029730596365,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256,fixed,75.5806395847509,75.54527880570438,75.78346521368019,77.81677713153898,0.2086663239458669,0.0004678549856389
39,P26,P26_1,P26_2,P,10,residual_balance,0.0090472009032964,16.034102952107787,16.043150153011084,3.295578062534332e-05,1246,0,16,17,0.0505002534498776,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,75.5806395847509,75.54536348084733,75.7835210800894,77.8169279875929,0.208666557830116,0.0004667346571605
39,P26,P26_1,P26_2,P,10,adaptive_bb_proxy,0.0092281606048345,10.663286888971925,10.67251504957676,3.389082849025726e-05,524,0,16,17,0.0509344123878837,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256,fixed,75.5806395847509,75.54518010917823,75.7834002621443,77.81660551911331,0.2086660513326524,0.0004691608296579
