n,contrast,frequency,trial,rho,alpha,delta_h,local_envelope,certified_envelope,actual_radius,exact_joint_rho,exact_joint_alpha,exact_joint_radius,relative_radius_gap,selection_seconds,certificate_valid
4,1.0,0,0,100.0,1e-06,0.20424033328656116,0.9999999990303916,1.000000001072795,0.9999999985008515,0.15843503862069927,1.6792153126910412,0.2558703317545548,2.9082295772380036,0.004558056592941284,True
4,1.0,1,0,100.0,1e-06,0.2067279931007002,0.999999999001617,1.000000001068897,0.9999999977899113,0.2100000024681924,1.6365340437844822,0.18173298628372986,4.502578360918284,0.0043448712676763535,True
4,1.0,3,0,100.0,1e-06,0.2062569059186168,0.9999999990008052,1.0000000010633743,0.999999997792165,0.1969595526829628,1.61437430904894,0.21187107489410284,3.719851439333962,0.020406264811754227,True
4,4.0,0,0,100.0,1e-06,2.585818734765476,0.9999999993907205,1.0000000252489079,0.9999999984993584,0.3547144349206409,1.9459898549606196,0.4533232781682501,1.2059312783143914,0.004469888284802437,True
4,4.0,1,0,100.0,1e-06,2.5963781402193664,0.9999999990745269,1.0000000250383083,0.9999999963582819,0.6506252657407205,1.8422666047651102,0.18397491751373568,4.435523547842446,0.004280786961317062,True
4,4.0,3,0,100.0,1e-06,2.598174282889542,0.9999999990656988,1.0000000250474417,0.9999999963650475,0.5495336885633775,1.8609166949561766,0.24506504930553275,3.0805492223344593,0.00438268855214119,True
4,16.0,0,0,100.0,1e-06,40.70636150717367,1.0000000050526712,1.0000004121162862,0.999999998498723,0.4736959016290087,1.9554485427925123,0.5352488496185467,0.8682898603357828,0.0043457746505737305,True
4,16.0,1,0,100.0,1e-06,40.860387682092316,1.0000000002261051,1.0000004088299819,0.999999995551327,0.7809832238266035,1.9516310213945796,0.21170610318334018,3.7235293669607357,0.004370264708995819,True
4,16.0,3,0,100.0,1e-06,40.858342736147655,1.0000000002429457,1.000000408826373,0.999999995600866,0.7816767502761375,1.9539692875253911,0.21186228520429345,3.72004724501386,0.004384158179163933,True
5,1.0,0,0,100.0,1e-06,0.20600270952558453,0.9999999990170153,1.0000000010770425,0.9999999985011447,0.15843503862069927,1.6792153126910412,0.25648405828370757,2.8988777906617633,0.004339730367064476,True
5,1.0,1,0,100.0,1e-06,0.20933108060802513,0.9999999989946055,1.0000000010879162,0.9999999977987067,0.20999000654067307,1.636721405387344,0.181653299045461,4.50499221898769,0.020466094836592674,True
5,1.0,3,0,100.0,1e-06,0.20960628073187815,0.9999999989974823,1.000000001093545,0.9999999979212715,0.20506078727072377,1.6283364345950624,0.19325184257283645,4.174594894454227,0.006142079830169678,True
5,4.0,0,0,100.0,1e-06,2.5853720483541296,0.9999999991350446,1.000000024988765,0.9999999984966574,0.36238095777590124,1.9556861004489183,0.4373388300603751,1.2865566232904733,0.005598757416009903,True
5,4.0,1,0,100.0,1e-06,2.604830548838034,0.9999999989487377,1.000000024997043,0.9999999965068702,0.5644730982819997,1.785449943942404,0.27193004381773633,2.6774163769014416,0.005353836342692375,True
5,4.0,3,0,100.0,1e-06,2.6071187778331866,0.9999999989748688,1.0000000250460566,0.9999999973979026,0.5017490671920941,1.882622421131967,0.33465459989053975,1.988155542236643,0.005123089998960495,True
5,16.0,0,0,100.0,1e-06,40.67426041162885,1.000000000799612,1.000000407542216,0.9999999984990336,0.46581957277583724,1.970124587166443,0.5233221200132863,0.9108689662757716,0.005437111482024193,True
5,16.0,1,0,100.0,1e-06,40.91865702168351,0.999999998041472,1.0000004072280422,0.9999999957803706,0.7022252609104983,2.0,0.2590461171708337,2.860316482261336,0.005461404100060463,True
5,16.0,3,0,100.0,1e-06,40.96360286595961,0.9999999985637855,1.0000004081998142,0.9999999972568884,0.6360781062986021,2.0,0.38008476439257316,1.6309920600343544,0.005413856357336044,True
