regime,level,smooth,method,rho,alpha,bound,actual_radius,oracle_radius,envelope_gap,parameter_gap,normalized_commutator,certificate_valid,certified,collapsed
magnitude,0.05,True,local_predictor,0.15679014489703375,1.7459251648483078,0.2267365988061424,0.24304045808734337,0.2327986285956703,-0.06708290220281653,0.0439943721037176,0.023296766876572995,False,False,False
magnitude,0.05,True,pixel_curvature_predictor,0.16205918711515982,1.7496688865311774,0.23464257035417502,0.2346425703541754,0.2327986285956703,-1.656042456542627e-15,0.007920758681562964,0.023296766876572995,False,False,False
magnitude,0.05,True,predict_then_certify,0.16205918711515982,1.7496688865311774,0.578307717751881,0.2346425703541754,0.2327986285956703,1.4646325552902386,0.007920758681562964,0.023296766876572995,True,True,False
magnitude,0.05,True,predict_angular_certify,0.16205918711515982,1.7496688865311774,0.6071153172153165,0.2346425703541754,0.2327986285956703,1.587404818737373,0.007920758681562964,0.023296766876572995,True,True,False
magnitude,0.05,True,block_resolvent,0.15679014489703375,1.7459251648483078,0.2557857071268935,0.24304045808734337,0.2327986285956703,0.052440853427661804,0.0439943721037176,0.023296766876572995,True,True,False
magnitude,0.05,True,block_gershgorin,0.10000000000000006,2.0,0.5471627011179533,0.3214722450056744,0.2327986285956703,0.7020526954303479,0.3809026579963852,0.023296766876572995,True,True,False
magnitude,0.05,True,commutator_rectangle,0.10000000000000006,2.0,0.5365416750466225,0.3214722450056744,0.2327986285956703,0.6690139922877382,0.3809026579963852,0.023296766876572995,True,True,False
magnitude,0.05,True,comparison_rectangle,0.10000000000000006,2.0,0.5091207817364488,0.3214722450056744,0.2327986285956703,0.5837161361394113,0.3809026579963852,0.023296766876572995,True,True,False
magnitude,0.2,True,local_predictor,0.15794677299201645,1.7467119480805553,0.22849095313068668,0.29540814655254966,0.25333502391713386,-0.226524536316263,0.16607700737493744,0.0773906569929359,False,False,False
magnitude,0.2,True,pixel_curvature_predictor,0.17769206013559724,1.7628651099051726,0.25686619962603086,0.25686619962603147,0.25333502391713386,-2.377201299481343e-15,0.013938758464177681,0.0773906569929359,False,False,False
magnitude,0.2,True,predict_then_certify,0.17769206013559724,1.7628651099051726,0.586955762940386,0.25686619962603147,0.25333502391713386,1.2850642232996325,0.013938758464177681,0.0773906569929359,True,True,False
magnitude,0.2,True,predict_angular_certify,0.17769206013559724,1.7628651099051726,0.6171028955620832,0.25686619962603147,0.25333502391713386,1.4024293443844156,0.013938758464177681,0.0773906569929359,True,True,False
magnitude,0.2,True,block_resolvent,0.15794677299201645,1.7467119480805553,0.3545797300199086,0.29540814655254966,0.25333502391713386,0.20030450804386676,0.16607700737493744,0.0773906569929359,True,True,False
magnitude,0.2,True,block_gershgorin,0.14601369798755193,1.8871277076045,0.6076854527744774,0.3124109060570821,0.25333502391713386,0.9451480117772977,0.23319271542679398,0.0773906569929359,True,True,False
magnitude,0.2,True,commutator_rectangle,0.14601369798755193,1.8871277076045,0.6098822382713213,0.3124109060570821,0.25333502391713386,0.952179730114437,0.23319271542679398,0.0773906569929359,True,True,False
magnitude,0.2,True,comparison_rectangle,0.10000000000000007,2.0,0.5384152996559602,0.3805364809441054,0.25333502391713386,0.4148848444705217,0.5021076638364037,0.0773906569929359,True,True,False
magnitude,0.5,True,local_predictor,0.16418441381303664,1.7512893372372256,0.2377700077517555,0.37483352907772144,0.28806949493276923,-0.36566505046443143,0.3011913294227892,0.13900812591194842,False,False,False
magnitude,0.5,True,pixel_curvature_predictor,0.20688892959584512,1.793471358011043,0.2940135828668671,0.2940135828668675,0.28806949493276923,-1.5104377339299693e-15,0.020634215141334348,0.13900812591194842,False,False,False
magnitude,0.5,True,predict_then_certify,0.20688892959584512,1.793471358011043,0.6729552783067942,0.2940135828668675,0.28806949493276923,1.2888577859054748,0.020634215141334348,0.13900812591194842,True,True,False
magnitude,0.5,True,predict_angular_certify,0.20688892959584512,1.793471358011043,0.7020627607833492,0.2940135828668675,0.28806949493276923,1.3878582544985707,0.020634215141334348,0.13900812591194842,True,True,False
magnitude,0.5,True,block_resolvent,0.16418441381303664,1.7512893372372256,0.590830102259564,0.37483352907772144,0.28806949493276923,0.5762466706575117,0.3011913294227892,0.13900812591194842,True,True,False
magnitude,0.5,True,block_gershgorin,0.15165750888103108,1.9542367323396,0.6840266994039003,0.36677270067456147,0.28806949493276923,0.864988037947893,0.2732090940769702,0.13900812591194842,True,True,False
magnitude,0.5,True,commutator_rectangle,0.15165750888103108,1.9542367323396,0.6974866724186272,0.36677270067456147,0.28806949493276923,0.9016864426818647,0.2732090940769702,0.13900812591194842,True,True,False
magnitude,0.5,True,comparison_rectangle,0.15165750888103108,1.8363557428141,0.5929771107291024,0.37377061625902014,0.28806949493276923,0.586473320626611,0.2975015502639464,0.13900812591194842,True,True,False
