n,contrast,frequency,trial,method,rho,alpha,bound,actual_radius,oracle_radius,relative_radius_gap,envelope_gap,selection_seconds,certificate_valid,collapsed
4,1.0,0,0,local_predictor,0.1581032610693,1.7290823482848,0.23631432849712697,0.2371293456153292,0.2558703317545548,-0.07324407644573278,-0.0034370150016115944,0.005370473489165306,False,False
4,1.0,0,0,block_resolvent,0.1581032610693,1.7290823482848,0.2796954210364617,0.2371293456153292,0.2558703317545548,-0.07324407644573278,0.17950572633967934,0.20201141200959682,True,False
4,1.0,0,0,block_gershgorin,0.1,2.0,0.5226830517153102,0.31535304643756085,0.2558703317545548,0.23247210520704367,0.6574536305258118,0.20536462776362896,True,False
4,1.0,0,0,commutator_rectangle,0.1,2.0,0.5229340278008232,0.31535304643756085,0.2558703317545548,0.23247210520704367,0.6582494880206046,0.02623426914215088,True,False
4,1.0,0,0,comparison_rectangle,0.1,2.0,0.522508866265112,0.31535304643756085,0.2558703317545548,0.23247210520704367,0.6569012799074623,0.02725348435342312,True,False
4,1.0,1,0,local_predictor,0.130423495129,1.9972065561673,0.0019051252717561251,0.3625426808718335,0.1817329862837298,0.9949195150836039,-0.9947451007225557,0.005242655053734779,False,False
4,1.0,1,0,block_resolvent,0.130423495129,1.9972065561673,0.44617730632949787,0.3625426808718335,0.1817329862837298,0.9949195150836039,0.23068904675317656,0.31991895847022533,True,False
4,1.0,1,0,block_gershgorin,0.1,2.0,0.5226830517153103,0.30413785078435235,0.1817329862837298,0.6735423601608489,0.7185728457255275,0.26311998441815376,True,False
4,1.0,1,0,commutator_rectangle,0.1,2.0,0.42306093657307536,0.30413785078435235,0.1817329862837298,0.6735423601608489,0.39101705191257147,0.027983473613858223,True,False
4,1.0,1,0,comparison_rectangle,0.1,2.0,0.4158660249801703,0.30413785078435235,0.1817329862837298,0.6735423601608489,0.36736030687294596,0.029522137716412544,True,False
4,1.0,3,0,local_predictor,0.1306001394251,1.9960421252307,0.002703736460324957,0.3620991267677633,0.2118710748941028,0.7090540884297081,-0.9925331594017927,0.005275320261716843,False,False
4,1.0,3,0,block_resolvent,0.1306001394251,1.9960421252307,0.44606014781584263,0.3620991267677633,0.2118710748941028,0.7090540884297081,0.23187302824380676,0.28536805137991905,True,False
4,1.0,3,0,block_gershgorin,0.1,2.0,0.5226830517153102,0.3041432657758839,0.2118710748941028,0.4355110339054092,0.718542248114292,0.25623528473079205,True,False
4,1.0,3,0,commutator_rectangle,0.1,2.0,0.41781950573458854,0.3041432657758839,0.2118710748941028,0.4355110339054092,0.37375885890062743,0.06430822052061558,True,False
4,1.0,3,0,comparison_rectangle,0.1,2.0,0.41242759787236905,0.3041432657758839,0.2118710748941028,0.4355110339054092,0.35603067462383775,0.061052387580275536,True,False
4,4.0,0,0,local_predictor,0.3307065875203,1.9034501883384,0.4212831716771652,0.4902008448420454,0.4533232781682501,0.0813493779159258,-0.140590686225943,0.02100716158747673,False,False
4,4.0,0,0,block_resolvent,100.0,1e-06,1.0000000116957901,0.9999999984993584,0.4533232781682501,1.2059312783143914,1.3196431744951841e-08,0.22887085378170013,True,True
4,4.0,0,0,block_gershgorin,1.2487604445918,2.0,0.7861365766273483,0.7857490568707884,0.4533232781682501,0.7333084240583806,0.0004931851373810084,0.3236382529139519,True,False
4,4.0,0,0,commutator_rectangle,1.2487604445918,2.0,0.7994717759586547,0.7857490568707884,0.4533232781682501,0.7333084240583806,0.017464505961377032,0.05320928432047367,True,False
4,4.0,0,0,comparison_rectangle,1.2487604445918,2.0,0.7950855916057977,0.7857490568707884,0.4533232781682501,0.7333084240583806,0.01188233654672349,0.08274613320827484,True,False
4,4.0,1,0,local_predictor,0.6497985568972,1.9997733389299,0.0004671268887593838,0.28562839377032295,0.1839749175137356,0.5525398659249182,-0.9983645642416944,0.020976366475224495,False,False
4,4.0,1,0,block_resolvent,0.6508282630351,2.0,0.8578603028869344,0.2852407720403518,0.1839749175137356,0.5504329388763318,2.0074953757507585,0.4500151388347149,True,False
4,4.0,1,0,block_gershgorin,1.0505198488559,2.0,0.7510950567158059,0.4629285068323252,0.1839749175137356,1.5162588090181526,0.6224860764253083,0.6332373637706041,True,False
4,4.0,1,0,commutator_rectangle,0.6491717369649,1.8793079428538,0.7390081400106981,0.20848788332002566,0.1839749175137356,0.1332408033527718,2.544609539137256,0.09678375907242298,True,False
4,4.0,1,0,comparison_rectangle,0.6508282630351,1.9259578999545,0.6497833048082531,0.23765980912736925,0.1839749175137356,0.2918054935919487,1.7340899885180587,0.045474698767066,True,False
4,4.0,3,0,local_predictor,0.6467709470219,1.9965054460586,0.0072817100221360676,0.28519054372430697,0.2450650493055327,0.1637340556414806,-0.9744672108442162,0.005072960630059242,False,False
4,4.0,3,0,block_resolvent,0.6530575811487,2.0,0.8656087633639266,0.2841842367483303,0.2450650493055327,0.1596277704783032,2.045942214347722,0.21232811361551285,True,False
4,4.0,3,0,block_gershgorin,1.0406654618473,2.0,0.7490526906029106,0.4593542350907629,0.2450650493055327,0.8744175735890721,0.6306646012633512,0.4647745229303837,True,False
4,4.0,3,0,commutator_rectangle,0.6370497667541,1.8698452458276,0.735707856187247,0.208372607606114,0.2450650493055327,-0.14972531498635983,2.530732108406269,0.028711143881082535,True,False
4,4.0,3,0,comparison_rectangle,0.6629502332459,1.9316002890189,0.6465765815522432,0.23532761021310228,0.2450650493055327,-0.03973409966057765,1.7475593746383267,0.030325455591082573,True,False
4,16.0,0,0,local_predictor,0.5020593303706,1.8898890800668,0.5389208771843583,0.5703289480119741,0.5352488496185467,0.06553979222641539,-0.055070097593847456,0.020690103992819786,False,False
4,16.0,0,0,block_resolvent,0.01,1e-06,1.000000039846229,0.9999999930478791,0.5352488496185467,0.8682898501520264,4.6798350187335066e-08,0.2949925437569618,True,True
